ID,vote,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
317,No,Urban,No,2,32,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
318,No,Rural,Yes,7,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
319,Yes,Urban,Yes,1,21,Female,Head of Household,Single/Never Married,Tertiary education,Other Income
320,No,Rural,No,3,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
321,No,Urban,Yes,6,34,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
322,No,Rural,No,3,72,Male,Head of Household,Married/Living together,Primary education,Informally employed
323,No,Rural,Yes,2,28,Female,Spouse,Married/Living together,Primary education,Other Income
324,No,Rural,No,4,48,Female,Head of Household,Widowed,No formal education,Informally employed
325,Yes,Urban,Yes,3,57,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
326,No,Urban,Yes,5,35,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
327,No,Rural,Yes,4,61,Female,Head of Household,Widowed,No formal education,Remittance Dependent
328,No,Rural,Yes,10,20,Male,Child,Single/Never Married,Primary education,Self employed
329,No,Rural,Yes,1,38,Male,Head of Household,Married/Living together,Primary education,Self employed
330,No,Rural,No,2,57,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
331,No,Urban,Yes,3,46,Female,Spouse,Single/Never Married,Primary education,Self employed
332,No,Urban,Yes,5,25,Male,Parent,Divorced/Seperated,Secondary education,Self employed
333,No,Rural,No,9,63,Female,Head of Household,Widowed,No formal education,Remittance Dependent
334,No,Urban,No,2,32,Female,Spouse,Single/Never Married,Primary education,Self employed
335,No,Rural,No,4,42,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
336,No,Rural,No,7,45,Female,Spouse,Married/Living together,Primary education,Informally employed
337,No,Urban,Yes,2,56,Female,Spouse,Single/Never Married,Primary education,Self employed
338,No,Rural,No,5,26,Male,Child,Single/Never Married,Secondary education,Informally employed
339,No,Rural,No,5,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
340,No,Urban,Yes,2,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
341,No,Rural,Yes,3,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing
342,No,Rural,Yes,3,47,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
343,No,Urban,No,1,65,Female,Head of Household,Widowed,Primary education,Remittance Dependent
344,No,Rural,No,2,20,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
345,No,Urban,No,2,24,Male,Parent,Divorced/Seperated,Secondary education,Informally employed
346,No,Rural,Yes,4,32,Female,Spouse,Married/Living together,Secondary education,Self employed
347,No,Rural,Yes,2,68,Female,Head of Household,Widowed,No formal education,Farming and Fishing
348,Yes,Urban,Yes,5,32,Male,Head of Household,Married/Living together,Primary education,Self employed
349,No,Urban,Yes,1,47,Female,Head of Household,Single/Never Married,Primary education,Informally employed
350,No,Urban,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Informally employed
351,No,Urban,Yes,2,55,Male,Head of Household,Single/Never Married,Primary education,Self employed
352,No,Urban,Yes,10,23,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed
353,No,Urban,Yes,2,60,Male,Head of Household,Single/Never Married,Primary education,Remittance Dependent
354,No,Rural,No,5,56,Female,Spouse,Married/Living together,No formal education,Informally employed
355,No,Urban,Yes,2,17,Female,Head of Household,Single/Never Married,No formal education,Farming and Fishing
356,Yes,Rural,Yes,5,54,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
357,No,Rural,Yes,3,59,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
358,No,Rural,Yes,4,19,Female,Parent,Divorced/Seperated,Tertiary education,Self employed
359,No,Rural,Yes,4,48,Female,Head of Household,Widowed,No formal education,Remittance Dependent
360,No,Rural,Yes,5,30,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
361,No,Rural,Yes,3,58,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
362,No,Urban,No,1,57,Male,Head of Household,Widowed,No formal education,Self employed
363,Yes,Urban,Yes,4,61,Male,Head of Household,Married/Living together,Vocational/Specialised training,Other Income
364,Yes,Rural,Yes,3,30,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
365,No,Urban,Yes,3,18,Female,Child,Married/Living together,Primary education,Self employed
366,No,Rural,Yes,4,52,Male,Head of Household,Married/Living together,No formal education,Formally employed Private
367,No,Rural,No,6,59,Female,Head of Household,Widowed,No formal education,Farming and Fishing
368,No,Rural,Yes,5,34,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
369,No,Rural,Yes,2,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
370,No,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Primary education,Self employed
371,No,Rural,Yes,4,18,Male,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent
372,No,Rural,Yes,1,39,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
373,No,Rural,Yes,1,42,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
374,No,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
375,No,Rural,No,8,42,Female,Head of Household,Divorced/Seperated,No formal education,Self employed
376,No,Urban,No,3,82,Female,Spouse,Single/Never Married,No formal education,Self employed
377,No,Rural,Yes,3,63,Female,Head of Household,Widowed,No formal education,Farming and Fishing
378,No,Rural,Yes,3,65,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
379,No,Rural,Yes,3,21,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
380,No,Rural,Yes,5,47,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
381,No,Rural,No,6,45,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
382,No,Urban,No,1,23,Female,Head of Household,Widowed,Primary education,Self employed
383,No,Rural,Yes,2,30,Female,Head of Household,Married/Living together,Primary education,Self employed
384,No,Urban,Yes,6,26,Female,Spouse,Married/Living together,Primary education,Self employed
385,No,Rural,No,4,81,Female,Head of Household,Widowed,Primary education,Remittance Dependent
386,No,Rural,Yes,6,45,Female,Spouse,Married/Living together,Primary education,Informally employed
387,Yes,Urban,Yes,5,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
388,No,Rural,No,1,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing
389,No,Rural,Yes,7,48,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
390,No,Urban,No,5,16,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
391,Yes,Rural,Yes,4,26,Female,Spouse,Married/Living together,Secondary education,Self employed
392,No,Rural,Yes,2,32,Female,Spouse,Single/Never Married,Primary education,Other Income
393,Yes,Rural,Yes,5,30,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed
394,No,Rural,Yes,2,23,Male,Child,Single/Never Married,Primary education,Farming and Fishing
395,No,Urban,Yes,2,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
396,Yes,Urban,Yes,1,26,Male,Head of Household,Single/Never Married,Secondary education,Self employed
397,No,Rural,Yes,5,21,Male,Child,Single/Never Married,Primary education,Informally employed
398,Yes,Urban,Yes,7,45,Female,Parent,Single/Never Married,Secondary education,Remittance Dependent
399,No,Rural,Yes,4,58,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
400,No,Urban,Yes,2,42,Female,Spouse,Single/Never Married,Primary education,Self employed
401,No,Rural,Yes,4,25,Male,Head of Household,Married/Living together,Primary education,Informally employed
402,No,Rural,No,3,85,Female,Head of Household,Widowed,No formal education,Farming and Fishing
403,No,Rural,Yes,4,18,Female,Parent,Single/Never Married,Primary education,Dont Know/Refuse to answer
404,No,Rural,Yes,3,22,Female,Parent,Single/Never Married,Secondary education,Self employed
405,No,Urban,Yes,5,31,Female,Spouse,Single/Never Married,Primary education,Self employed
406,No,Urban,Yes,3,54,Female,Head of Household,Widowed,Primary education,Farming and Fishing
407,No,Rural,Yes,4,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
408,No,Rural,No,4,45,Male,Head of Household,Married/Living together,Primary education,Other Income
409,No,Rural,No,4,17,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
410,Yes,Rural,Yes,1,50,Male,Head of Household,Married/Living together,Primary education,Informally employed
411,No,Urban,No,1,68,Female,Head of Household,Widowed,Primary education,Self employed
412,Yes,Rural,Yes,1,28,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
413,No,Urban,Yes,2,41,Female,Spouse,Single/Never Married,Primary education,Self employed
414,No,Rural,Yes,2,39,Female,Head of Household,Married/Living together,Secondary education,Self employed
415,No,Rural,Yes,4,42,Male,Head of Household,Married/Living together,Primary education,Informally employed
416,No,Rural,Yes,1,47,Female,Head of Household,Widowed,No formal education,Self employed
417,No,Urban,Yes,5,49,Male,Head of Household,Married/Living together,Primary education,Informally employed
418,No,Urban,Yes,4,24,Male,Other relative,Single/Never Married,Secondary education,Self employed
419,No,Rural,Yes,6,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
420,Yes,Urban,Yes,4,38,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
421,No,Rural,No,7,28,Female,Spouse,Married/Living together,Primary education,Informally employed
422,No,Urban,Yes,7,18,Female,Parent,Single/Never Married,Secondary education,Informally employed
423,Yes,Rural,Yes,2,36,Female,Spouse,Single/Never Married,Tertiary education,Self employed
424,No,Urban,Yes,1,48,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
425,No,Rural,No,5,36,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
426,No,Urban,Yes,7,35,Female,Parent,Single/Never Married,Secondary education,Other Income
427,No,Urban,No,7,18,Male,Other relative,Single/Never Married,Primary education,No Income
428,No,Rural,No,2,32,Female,Spouse,Single/Never Married,No formal education,Self employed
429,No,Rural,Yes,3,78,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
430,No,Rural,Yes,5,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
431,No,Urban,No,2,78,Male,Head of Household,Single/Never Married,No formal education,Self employed
432,No,Urban,No,2,26,Male,Head of Household,Single/Never Married,Primary education,Informally employed
433,No,Rural,Yes,4,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
434,No,Rural,Yes,3,20,Male,Head of Household,Married/Living together,Primary education,Other Income
435,No,Rural,No,6,22,Male,Child,Single/Never Married,Secondary education,Informally employed
436,No,Rural,No,2,34,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
437,No,Urban,Yes,2,65,Female,Head of Household,Widowed,Primary education,Self employed
438,No,Urban,No,2,55,Female,Head of Household,Married/Living together,Primary education,Self employed
439,No,Rural,No,5,18,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
440,Yes,Rural,Yes,3,80,Female,Head of Household,Widowed,No formal education,Informally employed
441,No,Rural,Yes,7,29,Female,Other relative,Divorced/Seperated,Secondary education,Self employed
442,No,Rural,Yes,9,42,Female,Spouse,Married/Living together,Primary education,Self employed
443,No,Urban,No,6,23,Female,Parent,Single/Never Married,Secondary education,Self employed
444,No,Rural,No,1,57,Male,Head of Household,Divorced/Seperated,Secondary education,Other Income
445,No,Urban,Yes,6,30,Female,Spouse,Married/Living together,Secondary education,Other Income
446,No,Rural,No,2,75,Male,Head of Household,Married/Living together,Primary education,Self employed
447,No,Urban,Yes,7,42,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent
448,No,Rural,Yes,2,21,Female,Spouse,Single/Never Married,Secondary education,Self employed
449,No,Urban,Yes,5,25,Female,Child,Single/Never Married,Primary education,Farming and Fishing
